Label,Index
O-PUNCT,0
O-PRON,1
I_,2
O-ADJ,3
O-DET,4
O-ADV,5
O-V-v.stative,6
O-CCONJ,7
O-AUX,8
O-N-n.GROUP,9
O-N-n.PERSON,10
O-V-v.cognition,11
O-N-n.ARTIFACT,12
O-V-v.communication,13
O-N-n.FOOD,14
O-N-n.COGNITION,15
O-V-v.social,16
O-N-n.ACT,17
O-NUM,18
O-P-p.Locus,19
O-V-v.motion,20
O-N-n.TIME,21
O-N-n.LOCATION,22
O-SCONJ,23
O-INF,24
B-N-n.GROUP,25
O-N-n.EVENT,26
O-N-n.COMMUNICATION,27
O-PRON.POSS-p.Possessor,28
O-N-n.POSSESSION,29
O-P-p.Time,30
O-V-v.possession,31
O-V-v.change,32
O-V-v.emotion,33
O-PRON.POSS-p.SocialRel|p.Gestalt,34
O-N-n.ATTRIBUTE,35
B-ADJ,36
O-P-p.Goal,37
O-P-p.Topic,38
O-INF.P-p.Purpose,39
o-DET,40
B-AUX,41
B-DISC,42
B-N-n.PERSON,43
o-PRON,44
O-V-v.perception,45
O-INTJ,46
O-SYM,47
O-P-p.Purpose,48
B-N-n.LOCATION,49
B-ADV,50
O-P-p.Direction,51
o-ADJ,52
O-P-p.ComparisonRef,53
O-PRON.POSS-p.Agent|p.Gestalt,54
B-DET,55
B-N-n.ARTIFACT,56
O-N-n.QUANTITY,57
B-N-n.ACT,58
B-N-n.FOOD,59
O-P-p.Theme,60
O-P-p.Quantity|p.Whole,61
B-V.VID-v.social,62
O-V-v.consumption,63
O-P-p.Recipient|p.Goal,64
O-P-p.Duration,65
O-P-p.Explanation,66
B-N-n.COGNITION,67
O-N-n.ANIMAL,68
O-PRON.POSS-p.Experiencer|p.Gestalt,69
O-P-p.Quantity,70
B-V.VID-v.cognition,71
O-N-n.BODY,72
B-V-v.social,73
B-N-n.COMMUNICATION,74
I~-P-p.Theme,75
O-P-p.Gestalt,76
O-PRON.POSS-p.Gestalt,77
O-INF.P-p.Characteristic|p.Purpose,78
O-PRON.POSS-p.Originator|p.Gestalt,79
B-V-v.communication,80
O-V-v.creation,81
I~-V-v.communication,82
B-V.VPC.full-v.social,83
O-P-p.Stimulus|p.Topic,84
O-P-p.Whole,85
B-V-v.stative,86
B-V-v.cognition,87
B-V.VID-v.stative,88
O-DISC,89
O-P-p.Source,90
O-P-p.Beneficiary,91
B-PP-p.Manner|p.Locus,92
O-P-p.Characteristic,93
O-P-p.Circumstance,94
O-N-n.NATURALOBJECT,95
B-V.IAV-v.social,96
O-P-p.Approximator,97
O-P-p.Identity,98
O-PRON.POSS-p.Whole|p.Gestalt,99
B-V.LVC.full-v.social,100
I~-DET,101
o-PRON.POSS-p.Possessor,102
I~-ADV,103
O-P-??,104
O-V-v.body,105
O-N-n.OTHER,106
O-P-p.Originator|p.Source,107
I~-N-n.COGNITION,108
B-N-n.EVENT,109
O-V-v.contact,110
O-N-n.STATE,111
o-ADV,112
O-P-p.Species,113
O-X,114
I~-ADJ,115
O-P-p.Goal|p.Locus,116
I~-N-n.ACT,117
I~-P-p.Topic,118
O-P-p.Manner,119
B-V.VPC.semi-v.motion,120
B-V.VID-v.communication,121
i_,122
B-PP-p.Extent,123
O-P-p.OrgRole|p.Locus,124
O-P-p.Time|p.Interval,125
O-N-n.RELATION,126
B-V.VPC.full-v.cognition,127
O-N-n.SUBSTANCE,128
O-N-n.FEELING,129
B-N-n.POSSESSION,130
O-P-p.Cost,131
B-P-p.Explanation,132
B-V.LVC.full-v.cognition,133
B-P-p.Locus,134
O-P-p.EndTime,135
O-P-p.StartTime,136
B-V.IAV-v.cognition,137
O-P-p.Agent,138
o-N-n.ARTIFACT,139
O-PRON.POSS-p.OrgRole|p.Possessor,140
B-V.VPC.full-v.stative,141
O-P-p.Manner|p.ComparisonRef,142
O-P-p.Accompanier,143
I~-CCONJ,144
B-V.VID-v.change,145
O-P-p.Co-Agent,146
B-V.LVC.full-v.communication,147
B-V.VPC.full-v.motion,148
O-N-n.PROCESS,149
I~-N-n.EVENT,150
O-N-n.MOTIVE,151
I~-N-n.COMMUNICATION,152
I~-V-v.cognition,153
O-P-p.Locus|p.Source,154
O-P-p.Manner|p.Locus,155
I~-N-n.TIME,156
O-N-n.PHENOMENON,157
I~-N-n.LOCATION,158
O-P-p.Theme|p.ComparisonRef,159
B-PP-p.Locus,160
B-PRON,161
o-N-n.GROUP,162
I~-PRON,163
I~-P-p.Stimulus|p.Topic,164
B-V-v.motion,165
O-P-p.Path,166
B-N-n.QUANTITY,167
B-V.IAV-v.motion,168
O-P-p.PartPortion,169
O-P-p.Cost|p.Locus,170
B-V.VPC.full-v.possession,171
I~-N-n.ARTIFACT,172
o-PRON.POSS-p.Whole|p.Gestalt,173
B-V.VPC.full-v.change,174
O-P-p.Means,175
B-V.VPC.full-v.communication,176
B-N-n.TIME,177
B-N-n.ATTRIBUTE,178
B-V.VPC.semi-v.communication,179
I~-P-p.Locus,180
O-P-p.Locus|p.Path,181
I~-N-n.GROUP,182
I~-P-p.Recipient|p.Goal,183
B-V.IAV-v.stative,184
O-POSS-p.Possessor,185
O-INF.P-p.Theme|p.Purpose,186
I~-INF,187
B-P-p.PartPortion,188
O-P-p.Beneficiary|p.Goal,189
I~-P-p.SocialRel|p.Co-Agent,190
I~-P-p.Co-Agent,191
B-V.VPC.full-v.body,192
I~-P-p.Direction,193
B-V.VPC.semi-v.social,194
B-P-p.Approximator,195
o-AUX,196
O-P-p.Quantity|p.Stuff,197
I~-N-n.PERSON,198
B-N-n.BODY,199
I~-V-v.stative,200
B-V.VID-v.emotion,201
B-V.VID-v.body,202
I~-V-v.social,203
o-PRON.POSS-p.Gestalt,204
B-CCONJ,205
I~-AUX,206
I~-P-p.Goal,207
B-V.VPC.semi-v.stative,208
O-P-p.Locus|p.Direction,209
B-V.VPC.semi-v.change,210
I~-P-p.Source,211
B-N-n.STATE,212
O-P-p.Possession|p.Accompanier,213
o-NUM,214
B-P-p.Time,215
O-P-p.Originator|p.Agent,216
B-PP-p.Approximator,217
B-P-p.Source,218
O-P-p.Experiencer|p.Goal,219
o-N-n.COGNITION,220
o-PUNCT,221
o-CCONJ,222
B-SCONJ,223
I~-PUNCT,224
O-P-p.Circumstance|p.Locus,225
O-POSS-p.Gestalt,226
B-P-p.InsteadOf,227
B-V-v.change,228
O-P-p.Stuff,229
O-P-p.Characteristic|p.Extent,230
I~-P-p.Purpose,231
B-V.VID-v.motion,232
O-P-p.Characteristic|p.Identity,233
I~-P-p.Stimulus|p.Goal,234
O-P-p.Explanation|p.Time,235
O-P-p.Instrument,236
o-P-p.Quantity,237
B-V-v.emotion,238
o-PRON.POSS-p.Originator|p.Gestalt,239
O-P-p.PartPortion|p.ComparisonRef,240
O-PRON.POSS-p.Theme|p.Gestalt,241
o-N-n.PERSON,242
O-P-p.Theme|p.Purpose,243
B-V.LVC.full-v.stative,244
o-PRON.POSS-p.Agent|p.Gestalt,245
B-V.LVC.cause-v.social,246
O-P-p.Experiencer|p.Beneficiary,247
O-P-p.Beneficiary|p.Theme,248
O-PRON.POSS-p.Recipient|p.Gestalt,249
I~-P-p.ComparisonRef|p.Goal,250
O-P-p.Stimulus|p.Direction,251
I~-N-n.POSSESSION,252
B-V-v.possession,253
O-P-p.Whole|p.Locus,254
o-PRON.POSS-p.Experiencer|p.Gestalt,255
O-PRON.POSS-`$,256
B-N-n.FEELING,257
B-V-v.perception,258
O-INF.P-p.ComparisonRef|p.Purpose,259
O-V-v.competition,260
O-P-p.Topic|p.Goal,261
o-N-n.FOOD,262
O-P-p.ComparisonRef|p.Goal,263
O-N-n.SHAPE,264
B-PP-p.Time,265
B-PP-p.Circumstance,266
O-P-p.PartPortion|p.Source,267
O-POSS-p.SocialRel|p.Gestalt,268
B-V.LVC.full-v.possession,269
B-V.VID-v.possession,270
o-N-n.QUANTITY,271
O-P-p.Agent|p.Source,272
I~-P-p.Stimulus|p.Direction,273
I~-V-v.change,274
B-V.LVC.full-v.body,275
b-DET,276
O-P-p.Recipient|p.Direction,277
O-P-p.OrgRole|p.Characteristic,278
O-P-p.Stimulus|p.Goal,279
o-N-n.ACT,280
I~-N-n.FEELING,281
B-N-n.SUBSTANCE,282
I~-N-n.FOOD,283
o-N-n.ANIMAL,284
O-P-p.Locus|p.Goal,285
O-POSS-p.Originator|p.Gestalt,286
O-PRON.POSS-p.OrgRole|p.Gestalt,287
O-P-p.SocialRel|p.Co-Agent,288
o-N-n.TIME,289
B-P-p.Topic,290
B-V.IAV-v.change,291
O-P-p.Gestalt|p.Locus,292
O-P-p.Stimulus|p.Causer,293
B-V.IAV-v.communication,294
O-P-p.Co-Theme,295
B-PP-p.Manner,296
o-PRON.POSS-`$,297
O-P-p.Identity|p.ComparisonRef,298
O-POSS-p.Agent|p.Gestalt,299
O-P-p.Frequency,300
O-P-p.Path|p.Locus,301
o-V-v.stative,302
O-P-p.RateUnit,303
O-P-p.PartPortion|p.Goal,304
B-P-p.Circumstance,305
B-P-p.ComparisonRef,306
O-PRON.POSS-p.Causer|p.Gestalt,307
B-PP-p.Instrument|p.Path,308
O-P-p.OrgRole|p.Accompanier,309
B-V.VPC.semi-v.cognition,310
I~-P-p.Recipient|p.Co-Agent,311
O-P-p.Time|p.Whole,312
B-P-p.Locus|p.Source,313
B-V.LVC.full-v.motion,314
b-N-n.GROUP,315
B-V.VPC.semi-v.possession,316
I~-PP-p.Manner|p.Locus,317
O-P-p.SocialRel|p.Gestalt,318
O-POSS-p.Experiencer|p.Gestalt,319
O-P-p.Extent,320
I~-N-n.MOTIVE,321
I~-P-p.Beneficiary,322
b-N-n.ARTIFACT,323
B-N-n.ANIMAL,324
O-P-p.Characteristic|p.Stuff,325
B-P-p.Whole,326
B-N-n.RELATION,327
I~-N-n.BODY,328
I~-V-v.possession,329
o-N-n.BODY,330
B-P-p.StartTime,331
I~-P-p.EndTime,332
b-N-n.PERSON,333
O-P-p.Causer,334
B-PP-p.Duration,335
B-V-v.contact,336
B-P-p.Manner|p.Locus,337
I~-P-p.Identity,338
O-N-n.PLANT,339
O-P-p.OrgRole|p.Source,340
I~-P-p.Time,341
O-P-p.OrgRole|p.Goal,342
I~-N-n.ATTRIBUTE,343
O-P-p.Co-Theme|p.Source,344
O-PRON.POSS-p.Beneficiary|p.Possessor,345
B-P-p.Accompanier,346
B-V-v.body,347
O-INF.P-p.Goal,348
B-V.LVC.full-v.change,349
O-P-p.OrgRole|p.Beneficiary,350
O-P-p.Stimulus|p.Beneficiary,351
B-V.VPC.full-v.creation,352
O-P-p.OrgRole|p.Gestalt,353
B-P-p.Direction,354
O-P-p.Instrument|p.Manner,355
B-PP-p.Locus|p.Source,356
O-P-p.OrgRole|p.Co-Agent,357
O-P-p.Whole|p.Source,358
o-PRON.POSS-p.SocialRel|p.Gestalt,359
I~-PP-p.Extent,360
o-PRON.POSS-p.Recipient|p.Gestalt,361
o-N-n.LOCATION,362
B-P-p.Quantity|p.Whole,363
B-N-n.NATURALOBJECT,364
I~-P-p.ComparisonRef,365
B-V-v.consumption,366
B-N-n.PROCESS,367
O-PRON.POSS-p.Beneficiary|p.Gestalt,368
O-P-p.Possessor|p.Accompanier,369
O-P-p.ComparisonRef|p.Purpose,370
I~-P-p.Quantity,371
O-P-p.ComparisonRef|p.Source,372
O-P-p.OrgRole|p.Instrument,373
o-N-n.OTHER,374
O-P-p.Approximator|p.Extent,375
O-P-p.Explanation|p.Source,376
O-P-p.Possession|p.Locus,377
O-P-p.Possession|p.Theme,378
O-P-p.Stimulus|p.Source,379
I~-P-p.Gestalt,380
o-SYM,381
O-POSS-p.OrgRole|p.Possessor,382
o-V-v.social,383
I~-DISC,384
B-P-p.Interval,385
B-P-p.Circumstance|p.Locus,386
B-V.IAV-v.possession,387
I~-P-p.OrgRole|p.Co-Agent,388
B-SYM,389
B-V.VID-v.competition,390
o-N-n.POSSESSION,391
O-P-p.Quantity|p.Gestalt,392
O-POSS-p.Beneficiary|p.Possessor,393
O-P-p.Experiencer|p.Gestalt,394
B-PP-p.Manner|p.Source,395
o-N-n.EVENT,396
O-P-p.Duration|p.Extent,397
I~-P-p.Originator|p.Source,398
O-P-p.Stimulus|p.Explanation,399
B-V.LVC.full-v.emotion,400
I~-P-p.Circumstance,401
I~-P-p.Goal|p.Locus,402
I~-V-v.body,403
B-V.IAV-v.emotion,404
O-P-p.ComparisonRef|p.Locus,405
O-P-p.Accompanier|p.Co-Agent,406
I~-SCONJ,407
b-ADJ,408
O-P-p.Beneficiary|p.Direction,409
O-P-p.Theme|p.Whole,410
I~-P-p.Purpose|p.Locus,411
o-N-n.COMMUNICATION,412
O-P-p.Locus|p.Whole,413
O-P-p.Topic|p.Identity,414
I~-P-p.OrgRole|p.Goal,415
B-V.LVC.cause-v.change,416
B-INTJ,417
o-PRON.POSS-p.Theme|p.Gestalt,418
O-P-p.Instrument|p.Path,419
B-PP-p.Manner|p.ComparisonRef,420
o-V-v.perception,421
I~-V.VID-v.cognition,422
O-POSS-p.Whole|p.Gestalt,423
B-N-n.PHENOMENON,424
O-P-p.OrgRole|p.Whole,425
I~-P-p.Instrument,426
I~-N-n.QUANTITY,427
B-P-p.Purpose,428
O-P-p.Time|p.Extent,429
B-V.VPC.semi-v.body,430
O-P-p.Manner|p.Goal,431
I~-P-p.Co-Theme,432
O-P-p.Gestalt|p.Topic,433
B-V.VID-v.creation,434
I~-P-p.Recipient|p.Direction,435
O-POSS-p.Duration|p.Gestalt,436
I~-N-n.NATURALOBJECT,437
O-POSS-p.Time|p.Gestalt,438
O-P-p.Time|p.Direction,439
I~-P-p.Locus|p.Goal,440
B-V.VPC.semi-v.consumption,441
B-V.VID-v.perception,442
O-P-p.Gestalt|p.Purpose,443
o-N-n.PROCESS,444
B-PP-p.PartPortion,445
O-P-p.Cost|p.Extent,446
B-V.LVC.full-v.consumption,447
B-P-p.Manner|p.Source,448
B-PP-p.Extent|p.Whole,449
o-V-v.contact,450
O-P-p.Interval,451
I~-P-p.Manner|p.Locus,452
I~-V-v.motion,453
I~-P-p.Duration,454
O-P-p.Theme|p.Accompanier,455
O-P-p.Possession|p.PartPortion,456
O-P-p.Direction|p.Goal,457
I~-P-p.Theme|p.Instrument,458
I~-INF.P-p.Purpose,459
O-P-p.Time|p.Goal,460
O-P-p.Characteristic|p.Purpose,461
I~-P-??,462
I~-V-v.perception,463
B-P-p.Goal|p.Locus,464
O-PRON.POSS-??,465
o-P-p.Species,466
B-P-p.Manner,467
o-V-v.cognition,468
o-INF,469
O-P-p.Frequency|p.Extent,470
B-P-??,471
B-P-p.Manner|p.Extent,472
B-PP-p.Cost,473
o-P-p.Direction,474
O-P-p.Agent|p.Gestalt,475
I~-N-n.PHENOMENON,476
O-P-p.Theme|p.Instrument,477
I~-P-p.Experiencer|p.Goal,478
O-P-p.Theme|p.Characteristic,479
B-P-p.Manner|p.Topic,480
O-P-p.Theme|p.Locus,481
B-V.LVC.cause-v.cognition,482
B-PP-p.Frequency|p.Manner,483
B-V.VID-v.consumption,484
I~-V.VPC.full-v.social,485
I~-PP-p.Time,486
B-V.LVC.cause-v.emotion,487
O-P-p.ComparisonRef|p.Accompanier,488
O-POSS-p.Theme|p.Gestalt,489
I~-P-p.Manner|p.Stuff,490
O-P-p.Path|p.Goal,491
B-PP-p.Direction,492
B-P-p.Instrument,493
o-POSS-p.Possessor,494
b-P-p.Approximator,495
I~-V.VPC.semi-v.change,496
I~-P-p.PartPortion,497
I~-P-p.Circumstance|p.Path,498
O-P-p.Gestalt|p.Source,499
O-P-p.Agent|p.Locus,500
B-P-p.Locus|p.Direction,501
B-PP-p.Circumstance|p.Locus,502
I~-V.VPC.full-v.emotion,503
I~-P-p.Stimulus|p.Causer,504
B-P-p.Frequency,505
I~-P-p.Frequency,506
B-N-n.PLANT,507
b-PRON,508
B-P-p.Goal,509
I~-P-p.Co-Theme|p.Purpose,510
O-P-p.Possessor|p.Locus,511
o-V-v.communication,512
o-P-p.Goal,513
o-V-v.emotion,514
B-PP-p.Purpose,515
O-P-p.Causer|p.Source,516
b-N-n.SUBSTANCE,517
i~-N-n.ARTIFACT,518
I~-NUM,519
B-PP-p.Source,520
B-PP-p.Whole,521
I~-P-p.Manner,522
I~-V.VPC.full-v.cognition,523
I~-V.IAV-v.change,524
B-V.VPC.full-v.consumption,525
I~-PP-p.Explanation,526
I~-V.VID-v.social,527
B-V.VPC.semi-v.emotion,528
O-P-p.Means|p.Path,529
O-P-p.Originator|p.Instrument,530
O-P-p.PartPortion|p.Instrument,531
B-P-p.Possession,532
B-PP-p.Goal,533
O-P-p.Agent|p.Beneficiary,534
O-P-p.Instrument|p.Locus,535
O-P-p.Instrument|p.Theme,536
B-N-n.OTHER,537
I~-P-p.Characteristic,538
O-P-p.Manner|p.Extent,539
I~-P-p.OrgRole|p.Beneficiary,540
I~-P-p.Topic|p.Identity,541
B-PP-p.Path,542
o-INF.P-p.Characteristic|p.Purpose,543
B-P-p.Cost,544
o-P-p.Locus,545
B-V.VPC.full-v.contact,546
I~-P-p.Whole,547
I~-N-n.RELATION,548
O-P-p.Goal|p.Whole,549
I~-POSS-p.Time|p.Gestalt,550
b-V.VPC.full-v.possession,551
b-V-v.possession,552
i~-P-p.Theme|p.Purpose,553
O-P-p.Co-Theme|p.Purpose,554
I~-V.VID-v.stative,555
O-P-p.Possession,556
I~-P-p.Originator|p.Gestalt,557
O-P-p.Characteristic|p.Manner,558
I~-P-p.Co-Theme|p.Source,559
b-N-n.QUANTITY,560
B-PP-p.Cost|p.Locus,561
o-N-n.NATURALOBJECT,562
B-PP-p.Explanation|p.Manner,563
B-PP-p.ComparisonRef,564
B-P-p.Time|p.Interval,565
B-INF.P-p.Manner,566
I~-P-p.Purpose|p.Goal,567
B-P-p.Extent,568
I~-V-v.competition,569
I~-PP-p.Goal,570
B-PP-p.OrgRole|p.Locus,571
B-PP-p.Goal|p.Locus,572
I~-V.VID-v.emotion,573
O-P-p.InsteadOf|p.Locus,574
O-P-p.Stimulus|p.Theme,575
O-POSS-p.Locus|p.Gestalt,576
B-NUM,577
o-PRON.POSS-p.Beneficiary|p.Possessor,578
b-P-p.PartPortion,579
B-V.LVC.full-v.perception,580
I~-PRON.POSS-p.Whole|p.Gestalt,581
I~-P-p.Locus|p.Source,582
O-P-p.Extent|p.Identity,583
O-P-p.ComparisonRef|p.Beneficiary,584
B-P-p.Path,585
I~-P-p.Path,586
O-P-p.Experiencer|p.Agent,587
O-P-p.Time|p.Duration,588
O-P-p.SocialRel|p.Source,589
i~-N-n.QUANTITY,590
B-V.VID-v.contact,591
b-N-n.LOCATION,592
o-P-p.Quantity|p.Gestalt,593
O-P-p.Whole|p.Circumstance,594
O-P-p.Purpose|p.Goal,595
